,n=10,,,n=100,,,"n=1,000",,,"n=10,000",,,"n=100,000",,,"n=1,000,000",,
,try 1,try 2, try3,try 1,try 2,try 3,try 1,try 2,try 3,try 1,try 2,try 3,try 1,try 2,try 3,try 1,try 2,try 3
std_add.btor2,410,2351,7011,4561,862,913,5684,5772,7106,52090,50952,64308,426891,513101,542941,5936735,5584209,5451480
std_and.btor2,777,2261,457,922,899,3603,5366,17459,8975,114167,54409,58073,659574,554117,493242,3061689,3223313,3504729
std_cat.btor2,2006,446,784,2241,3297,5198,4107,8164,6046,36911,48424,52647,548914,383683,404735,5335373,4888731,4436726
std_eq.btor2,435,2545,344,834,3319,898,6402,8374,4001,45008,49163,50313,506669,488516,495705,5168773,4490358,4196810
std_ge.btor2,334,267,289,2925,524,462,2954,5734,3044,22134,29304,21096,265075,311818,317378,3430302,3301387,3786304
std_gt.btor2,23177,500,419,4017,955,807,10713,4794,6788,46474,49678,41942,502099,464012,439662,4255927,3498749,3569284
std_le.btor2,287,3741,456,461,814,857,6132,4590,5264,27850,44002,31568,371061,380305,386336,2282789,2295944,2562950
std_lsh.btor2,277,271,2517,3174,1912,2508,3699,6927,2826,34847,35186,30339,317852,320427,245975,3503359,3379309,3825400
std_lt.btor2,3373,288,272,455,636,3450,3212,5274,5304,27063,17875,24081,268462,248822,232006,2952685,2885237,2677184
std_mux.btor2,449,304,2375,900,2628,3618,5985,5677,6015,48873,50974,50532,356436,362765,372385,2856803,2807314,3199439
std_neq.btor2,390,2957,432,789,4428,2912,8489,4101,3949,45125,39134,37610,361187,377595,339267,3381404,3307410,3787787
std_not.btor2,365,2208,332,2567,655,449,3054,3684,5807,31129,24800,27630,329905,337272,375920,2960431,3221025,3492400
std_or.btor2,3975,2426,3029,787,2859,908,9662,7071,4060,44863,49326,58054,393357,446761,543566,5398064,5036089,5043531
std_pad.btor2,2988,417,3768,581,620,636,6156,15996,3061,34508,25973,30811,343379,291713,283969,3162434,2858839,2450003
std_rsh.btor2,1808,426,435,777,2683,3073,6572,6083,7497,39831,48244,52978,419811,356281,433194,3551129,3606313,4213169
std_slice.btor2,1901,1969,351,2190,2227,500,2934,2246,1858,24833,24569,23084,279993,203648,253862,2462112,2423257,2787079
std_sub.btor2,5798,513,2435,1105,1129,941,6220,9567,8726,65759,72469,68504,753460,676325,549878,4117047,4007623,4642629
std_xor.btor2,383,1762,2405,3242,3139,2919,6450,6423,2880,37821,39742,40663,344386,315619,287326,3968481,3719730,4138061
fib.btor2,987,1482,4101,9225,9995,9033,75838,84339,68666,831813,821671,931622,9608107,9347325,9883854,55690293,56670254,53620569
,,,,,,,,,,,,,,,,,,
Mean:,1905.481481,,,1866.037037,,,6017.296296,,,42550.7963,,,397752.5556,,,3705284.056,,
Stdev:,"3,311",,,"1,320",,,2941.425457,,,16422.83093,,,117731.7839,,,930012.8587,,
,,,,,,,,,,,,,,,,,,
gen_xor_cat.btor2,2757,"2,795",784,4522,2749,3869,45664,37692,42812,385263,372670,408114,3964641,3864839,4392307,29123767,27180949,27546201
,,,,,,,,,,,,,,,,,,
Mean:,"2,112",,,"3,713",,,42056,,,388682.3333,,,4073929,,,27950305.67,,
Stdev:,1150.238671,,,896.6918832,,,4039.411838,,,17967.6978,,,280202.6462,,,1032526.456,,